2023-12-17 16:09:29,429 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer(startServer:59) - LiveReload server is running on port 35729
2023-12-17 16:09:29,433 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(start:221) - Tomcat started on port 8080 (http) with context path ''
2023-12-17 16:09:29,435 [restartedMain] INFO  com.nnb.DSGAgent.DgsAgentApplication(logStarted:56) - Started DgsAgentApplication in 0.281 seconds (process running for 12786.558)
2023-12-17 16:09:29,436 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener(onApplicationEvent:63) - Condition evaluation unchanged
2023-12-17 16:09:43,962 [File Watcher] INFO  org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener(onApplicationEvent:211) - Restarting due to 2 class path changes (0 additions, 0 deletions, 2 modifications)
2023-12-17 16:09:44,053 [restartedMain] INFO  com.nnb.DSGAgent.DgsAgentApplication(logStarting:50) - Starting DgsAgentApplication using Java 21.0.1 with PID 26818 (/Users/powergi/Documents/nnb_projects/DGSAgent/bin/main started by powergi in /Users/powergi/Documents/nnb_projects/DGSAgent)
2023-12-17 16:09:44,053 [restartedMain] INFO  com.nnb.DSGAgent.DgsAgentApplication(logStartupProfileInfo:653) - No active profile set, falling back to 1 default profile: "default"
2023-12-17 16:09:44,101 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(initialize:108) - Tomcat initialized with port 8080 (http)
2023-12-17 16:09:44,104 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext(prepareWebApplicationContext:296) - Root WebApplicationContext: initialization completed in 50 ms
2023-12-17 16:09:44,127 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer(startServer:59) - LiveReload server is running on port 35729
2023-12-17 16:09:44,131 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(start:221) - Tomcat started on port 8080 (http) with context path ''
2023-12-17 16:09:44,132 [restartedMain] INFO  com.nnb.DSGAgent.DgsAgentApplication(logStarted:56) - Started DgsAgentApplication in 0.093 seconds (process running for 12801.255)
2023-12-17 16:09:44,133 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener(onApplicationEvent:63) - Condition evaluation unchanged
2023-12-17 16:23:45,688 [RMI TCP Connection(257)-127.0.0.1] INFO  org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin(shutdown:159) - Application shutdown requested.
