2023-12-14 11:19:28,153 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext(prepareWebApplicationContext:296) - Root WebApplicationContext: initialization completed in 273 ms
2023-12-14 11:19:28,237 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer(startServer:59) - LiveReload server is running on port 35729
2023-12-14 11:19:28,250 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(start:221) - Tomcat started on port 11222 (http) with context path ''
2023-12-14 11:19:28,254 [restartedMain] INFO  com.nnb.DSGAgent.DgsAgentApplication(logStarted:56) - Started DgsAgentApplication in 0.483 seconds (process running for 472.683)
2023-12-14 11:19:28,255 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener(onApplicationEvent:63) - Condition evaluation unchanged
2023-12-14 11:19:36,473 [http-nio-11222-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:532) - Initializing Servlet 'dispatcherServlet'
2023-12-14 11:19:36,475 [http-nio-11222-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:554) - Completed initialization in 1 ms
2023-12-14 11:19:36,524 [http-nio-11222-exec-1] INFO  com.nnb.DSGAgent.info.Controller.InfoController(getServerInfo:32) - [game name : user001] [id : user001]
2023-12-14 11:19:53,472 [File Watcher] INFO  org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener(onApplicationEvent:211) - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2023-12-14 11:19:53,622 [restartedMain] INFO  com.nnb.DSGAgent.DgsAgentApplication(logStarting:50) - Starting DgsAgentApplication using Java 21.0.1 with PID 11960 (C:\eGovFrameDev-4.1.0-Win-64bit\workspace\DGSAgent\bin\main started by kwj in C:\eGovFrameDev-4.1.0-Win-64bit\workspace\DGSAgent)
2023-12-14 11:19:53,623 [restartedMain] INFO  com.nnb.DSGAgent.DgsAgentApplication(logStartupProfileInfo:659) - The following 1 profile is active: "dev"
2023-12-14 11:19:53,902 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(initialize:108) - Tomcat initialized with port 11222 (http)
2023-12-14 11:19:53,928 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext(prepareWebApplicationContext:296) - Root WebApplicationContext: initialization completed in 303 ms
2023-12-14 11:19:54,043 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer(startServer:59) - LiveReload server is running on port 35729
2023-12-14 11:19:54,066 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(start:221) - Tomcat started on port 11222 (http) with context path ''
2023-12-14 11:19:54,072 [restartedMain] INFO  com.nnb.DSGAgent.DgsAgentApplication(logStarted:56) - Started DgsAgentApplication in 0.532 seconds (process running for 498.502)
2023-12-14 11:19:54,076 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener(onApplicationEvent:63) - Condition evaluation unchanged
2023-12-14 11:19:55,577 [http-nio-11222-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:532) - Initializing Servlet 'dispatcherServlet'
2023-12-14 11:19:55,578 [http-nio-11222-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:554) - Completed initialization in 1 ms
2023-12-14 11:19:55,580 [http-nio-11222-exec-2] INFO  com.nnb.DSGAgent.info.Controller.InfoController(getServerInfo:32) - [game name : DST] [id : user001]
